gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  288  -7.03   5.25  3.97  1.261014310031  1.00  0.40 
  289  -7.07   5.24  3.96  1.2710112 9908  1.00  0.40 
  290  -7.11   5.19  3.97  1.281003010023  1.00  0.40 
  291  -7.18   5.18  3.97  1.281003010026  1.00  0.40 
  292  -7.19   5.12  3.98  1.2910004 9983  1.00  0.40 
  293  -7.28   5.11  3.97  1.281005810000  1.00  0.40 
  294  -7.36   5.08  3.98  1.291002110018  1.00  0.40 
  295  -7.40   5.08  3.95  1.2910030 9921  1.00  0.40 
  296  -7.43   5.03  3.96  1.29 9985 9978  1.00  0.40 
  297  -7.46   5.02  3.97  1.30 996310014  1.00  0.40 
  298  -7.47   4.98  3.98  1.30 998110029  1.00  0.40 
  299  -7.52   4.95  4.01  1.311000110124  1.00  0.40 
  300  -7.56   4.94  3.99  1.31 992510106  1.00  0.40 
  301  -7.59   4.92  3.98  1.31 997310020  1.00  0.40 
  302  -7.61   4.93  3.98  1.3210101 9863  1.00  0.40 
  303  -7.63   4.90  3.96  1.3110060 9975  1.00  0.40 
  304  -7.67   4.91  3.96  1.3310015 9856  1.00  0.40 
  305  -7.67   4.90  3.97  1.3310026 9999  1.00  0.40 
  306  -7.71   4.87  3.96  1.3310029 9987  1.00  0.40 
  307  -7.73   4.79  3.94  1.32 995410052  1.00  0.40 
  308  -7.74   4.73  3.93  1.33 9892 9837  1.00  0.40 
  309  -7.78   4.71  3.92  1.33 992310093  1.00  0.40 
  310  -7.81   4.69  3.93  1.3310050 9943  1.00  0.40 
  311  -7.86   4.68  3.92  1.3310032 9864  1.00  0.40 
  312  -7.86   4.67  3.94  1.3310011 9963  1.00  0.40 
  313  -7.89   4.69  3.92  1.34 994910000  1.00  0.40 
  314  -7.91   4.64  3.91  1.3410023 9911  1.00  0.40 
  315  -7.91   4.67  3.92  1.34 9997 9942  1.00  0.40 
  316  -7.91   4.62  3.93  1.3410027 9946  1.00  0.40 
  317  -7.92   4.60  3.92  1.331010010028  1.00  0.40 
  318  -7.94   4.58  3.92  1.331000610061  1.00  0.40 
  319  -7.96   4.60  3.92  1.34 997410022  1.00  0.40 
  320  -7.98   4.61  3.92  1.34 999110082  1.00  0.40 
